PERIOD,DECLARANT,Andorra,Belgien,Ceuta,Deutschland,Dänemark,Estland,Finnland,Frankreich,Färoer,Gibraltar,Griechenland,Heiliger Stuhl (Vatikanstadt),Irland,Island,Italien,Lettland,Liechtenstein,Litauen,Luxemburg,Malta,Melilla,Niederlande,Norwegen,Osterreich,Polen,Portugal,San Marino,Schweden,Schweiz,Spanien,Türkei,Vereinigtes Königreich
2012-01,Belgien,:,:,:,"5.182,56","88,33",:,"1.961,59","1.005,04",:,:,:,:,"9.123,09",:,"1,05","24,32",:,:,"972,43",:,:,"20.757,71","1,36","36,94","933,43","53,40",:,"270,61","0,14","108,11","1,74","1.613,51"
2012-01,Bulgarien,:,:,:,"651,89",:,"16,80","358,50","13,85",:,:,"64,52",:,"798,01",:,:,:,:,"71,28",:,:,:,"985,29",:,"1.681,59","327,41",:,:,:,:,:,"0,26","183,61"
2012-01,Daenemark,:,"0,20",:,"12.412,69",:,:,"274,50","78,50",:,:,:,:,"142,97",:,"17,89","0,61",:,:,:,:,:,"10.418,11","3,69","36,87","431,61",:,:,"46.659,26","2.858,22",:,:,"2.226,39"
2012-01,Deutschland,:,"1.078,22",:,:,"1.945,32","40,42","16.456,85","7.797,75",:,:,"111,18",:,"45,01",:,"270,83","281,20",:,"527,13","1.095,96",:,:,"191.220,37","1,04","8.129,22","2.538,45","145,00",:,"543,06","591,99","1.238,90","0,55","32.359,24"
2012-01,Estland,:,:,:,"126,05","0,87",:,"392,05","3,68",:,:,:,:,"450,10",:,"3,04","888,51",:,"72,75",:,:,:,:,:,:,"34,06",:,:,"239,50","0,33",:,:,:
2012-01,Finnland,:,"170,66",:,"4.478,22","14,71","0,05",:,"1.828,80",:,:,:,:,"2.822,39",:,"1.110,12",:,:,"11,67",:,:,:,"1.723,58","1,27","87,68","22,05","13,60",:,"10.325,44",:,:,:,"1.199,96"
2012-01,Frankreich,:,"517,59",:,"6.822,85",:,"74,93","6.291,46",:,:,:,:,:,"120,78",:,"68,07","84,64",:,:,"1.789,07",:,:,"240.979,95","3,59","257,33","29,25","232,19",:,"5.369,77","107,87","93,91","0,64","22.425,23"
2012-01,Griechenland,:,:,:,"1.788,08","49,19",:,"1.002,07","88,72",:,:,:,:,:,:,"2.617,30","0,29",:,:,"5.642,70",:,:,"2.212,94","0,05","4.745,06","0,09","1,95",:,:,:,"19,41","27,54","411,93"
2012-01,Irland,:,"1,46",:,"1.180,48",:,:,"613,77","252,11",:,:,:,:,:,:,:,:,:,:,"1.183,86",:,:,"613,08",:,:,:,:,:,:,"0,48",:,:,"20.134,91"
2012-01,Italien,:,:,:,"98.806,93","108,64","13,60","3.258,38","4.993,11",:,:,:,:,"0,88",:,:,:,:,"19,57","39.362,79","134,51",:,"10.648,93",:,"102,58","226,77","24,60",:,"92,63",:,"21,77",:,"16.910,07"
2012-01,Kroatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2012-01,Lettland,:,:,:,"207,85",:,"0,01","760,81","2,42",:,:,:,:,"716,33",:,:,:,:,"1.101,17",:,:,:,"1,02",:,"33,87","15,10",:,:,"113,57",:,:,:,"287,52"
2012-01,Litauen,:,:,:,"8,97","99,61","52,80","1.990,11","0,21",:,:,:,:,"100,10",:,"4,52","2.618,98",:,:,:,:,:,:,:,"152,40","274,95",:,:,"405,44",:,:,:,"190,01"
2012-01,Luxemburg,:,"2.698,21",:,"1.940,57","336,33",:,:,"585,77",:,:,:,:,:,:,:,"15,76",:,:,:,:,:,"4.864,50",:,"485,44",:,"103,81",:,:,"0,46",:,:,"437,37"
2012-01,Malta,:,"23,80",:,"31,93",:,:,"14,84",:,:,:,:,:,:,:,"17,15",:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"133,95"
2012-01,Niederlande,:,"4.311,88",:,"14.846,17","266,62",:,"3.600,74","1.066,52",:,:,"25,00",:,"41.882,98",:,"37,99",:,:,:,"0,52",:,:,:,"1.444,13","210,72","51,36","12,82",:,"657,78","907,09","554,38","10,32","12.940,03"
2012-01,Oesterreich,:,:,:,"9.655,59",:,:,"1.398,92","142,12",:,:,:,:,"10.501,63",:,"66,36",:,:,"100,14",:,:,:,"7.407,39",:,:,"5.937,95",:,:,"4,06","202,09",:,"0,52","822,59"
2012-01,Polen,:,:,:,"14.131,11",:,"11,47","5.154,62","237,66",:,:,:,:,"1.491,58",:,"0,27",:,:,:,:,:,:,"728,06",:,"18.215,81",:,"23,00",:,"66,52",:,:,"0,33","1.462,94"
2012-01,Portugal,:,"1,15",:,"215,45",:,:,"2.404,61","174,73",:,:,:,:,"3.112,70",:,"384,27",:,:,:,"329,45",:,:,"2.244,05","0,21","0,80",:,:,:,"279,53",:,"140,23",:,"1.182,73"
2012-01,Rumanien,:,:,:,"3.912,84",:,:,"505,37","23,69",:,:,"5,88",:,:,:,"407,62",:,:,:,"269,17",:,:,"4.874,86",:,"666,29","124,90","76,49",:,:,:,:,:,"144,83"
2012-01,Schweden,:,"0,01",:,"811,92","6.142,07",:,"3.658,14","453,62",:,:,:,:,"18.703,35",:,:,"0,35",:,"0,31",:,:,:,"37.237,45","744,87","83,08","39,73",:,:,:,"446,60",:,"0,20","39.271,15"
2012-01,Slowakei,:,:,:,"2.774,89",:,:,"2.396,12","46,39",:,:,:,:,"1.955,70",:,"782,14",:,:,"33,34",:,:,:,"1.886,27",:,"88.530,58","1.369,01",:,:,"952,30",:,:,:,"1.059,21"
2012-01,Slowenien,:,:,:,"219,94",:,:,"609,69","323,40",:,:,:,:,:,:,"1,80",:,:,:,:,:,:,"690,65",:,"5.053,17","23,83",:,:,"159,12","0,70",:,:,"38,92"
2012-01,Spanien,"0,40",:,"11,39","1.020,76","0,22",:,"5.723,77","1.308,89",:,:,:,:,"21.299,92",:,"8.783,98","4,65",:,"1,88","4.491,24",:,"7,99","74.302,76","7,11","33,56","118,78","934,32",:,"2,63","1,17",:,"101,77","24.356,81"
2012-01,Tschechische Republik,:,"199,52",:,"29.010,25","570,18","2,10","1.752,12","122,36",:,:,:,:,"1.178,82",:,"66,53","3,59",:,"115,32",:,"0,86",:,"9.408,38",:,"394,46","6.320,19","178,82",:,"1.423,20","1.059,81","0,58",:,"3.513,53"
2012-01,Ungarn,:,:,:,"2.615,68",:,:,"1.695,12","305,04",:,:,:,:,"4.136,26",:,:,:,:,:,"228,19",:,:,"16,98",:,"684,71","34,23",:,:,"548,00","7,17",:,:,"641,05"
