PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-01,AT,:,"1,42",:,:,:,"9.286,22","409,25",:,:,"11,10","4.330,44","94,10",:,"4.046,43","4,66","4.938,19",:,"2,56",:,:,"5.591,12",:,:,:,"103,23",:,:,"502,44"
2007-01,BE,:,:,:,:,"2,76","3.129,66","1.919,56",:,:,"307,50","1.707,74","1.288,83",:,"8.422,74","12,18","2,01",:,"1.532,91",:,:,"4.002,97",:,:,:,"0,02",:,:,"16,80"
2007-01,BG,:,:,:,"3,40","32,17","1.191,20","25,68",:,"1,37","43,07","309,88","84,07",:,"1.155,02",:,:,:,"47,10",:,:,"0,10","0,61",:,:,"181,57",:,"0,33","93,38"
2007-01,CY,:,:,:,:,"2,50","1.038,32","66,30",:,"18,28",:,"197,72","681,67",:,"112,42",:,"162,40",:,"15,37",:,:,"1.123,10",:,:,:,"17,76",:,:,"32,71"
2007-01,CZ,:,:,:,:,:,"2.997,72","77,96",:,:,"276,19","5.187,14","91,95",:,"18.361,28",:,"1.447,97",:,"351,52",:,:,"265,35","190,96","178,28","38,61",:,:,"2.242,80","134,02"
2007-01,DE,:,"2.475,36","0,23",:,"40,65",:,"6.321,04",:,:,"0,75","64.207,74","4.318,61",:,"27.347,58","31,52","1.107,01","8,91","3.527,74",:,:,"44.241,07","1.486,40",:,:,"30,32","10,32",:,"5.007,83"
2007-01,DK,:,"5,83",:,:,"0,82","6.375,76",:,:,:,"273,42","4.065,49","31,20",:,"3.328,99","13,22",:,:,"618,53",:,:,"158,63","346,52",:,:,"8.280,24",:,:,"3.149,51"
2007-01,EE,:,:,:,:,"5,30","4.657,44","1,88",:,:,:,"385,26","1,23",:,"637,72",:,:,"472,67","93,00","3.466,28",:,:,:,:,:,"620,22",:,:,"3,64"
2007-01,EL,:,"8,68","70,70","94,81","1,65","21.701,08","458,55",:,:,"28,40","6.139,97","1.199,47",:,"5.019,00","0,71","0,34",:,"28,34","1.289,77",:,"13,59","6,72",:,:,:,:,:,"26,10"
2007-01,ES,:,"17,11",:,:,"264,51","48.345,25","5.655,80",:,:,:,"25.448,60","8.207,89",:,"45.495,28","40,44","802,65",:,"2.044,17",:,:,"27.740,40","118,31","1.623,35",:,"2,27","13,91",:,"650,70"
2007-01,FI,:,"18,17",:,:,:,"19.404,26","88,76","232,73",:,"75,38",:,"34,78",:,"4.343,65",:,:,"6,31","10,17",:,:,"41,97","0,14",:,:,"556,06",:,:,"33,05"
2007-01,FR,:,"1.089,35",:,:,"1,88","14.513,58","3.950,41",:,"4,88","1.258,09","30.653,65",:,:,"13.567,45","49,05","7.934,84",:,"1.387,63",:,"1,51","36.481,82",:,"1.470,87",:,"0,23",:,:,"1.175,73"
