PERIOD,DECLARANT,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-01,AT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-01,BE,"0,13",:,:,:,:,"5.105,68","682,78",:,:,:,"1.821,97","2.376,90",:,"10.332,71",:,:,:,"664,77",:,:,"16.501,67",:,"82,42",:,"4.098,75",:,"35,98","349,09"
2007-01,BG,"1.891,96","25,40",:,"1.299,43","129,40","3.031,15","25,49",:,"260,78","80,60","931,08","133,05",:,"4.619,64",:,"0,43",:,"8,56",:,:,:,:,:,"0,63","1.028,14",:,:,"358,78"
2007-01,CY,:,:,:,:,:,"225,80","120,15",:,"158,89",:,"122,34",:,:,"185,56",:,:,:,:,:,:,"0,40",:,:,:,"642,38",:,:,"22,09"
2007-01,CZ,"2.337,29",:,:,:,:,"4.465,83","47,26",:,:,"345,34","5.083,50","215,38",:,"7.375,72",:,"1.186,00",:,"280,43",:,:,"268,83","599,27","166,45","37,73","1.220,32",:,"602,39","214,05"
2007-01,DE,"4.795,82","4.127,61","33,45","189,81","1.040,40",:,"15.124,81","178,56","120,55","108,84","752,68","17.895,46",:,"15.859,85","4.226,10","3.117,47","0,90","2.072,98","1.047,83",:,"99.049,25","920,59","192,50","13,19","1.869,64","10,62","138,07","6.691,34"
2007-01,DK,"10,13","18,47",:,:,:,"9.241,88",:,:,"56,83","935,19","3.468,07","183,22",:,"5.812,97",:,"169,79","728,62","812,86",:,:,"133,26","85,66",:,:,"8.687,87",:,:,"4.170,01"
2007-01,EE,:,:,:,:,:,"190,82",:,:,:,:,"1.915,48",:,:,"227,78",:,:,"80,46",:,"660,19",:,"195,40","12,40",:,:,"689,10",:,:,:
2007-01,EL,"12.210,67",:,:,"76,50",:,"19.217,28","52,00",:,:,"622,70","19.301,51","434,01",:,"1,44",:,"0,06",:,:,:,:,"88,04",:,:,:,"108,48",:,:,"17,56"
2007-01,ES,"140,25","11,47",:,"196,00","34,71","29.315,07","1.146,06",:,:,:,"25.558,74","4.944,09",:,"42.777,69","28,57","2.116,92",:,"2.017,94",:,:,"26.715,94",:,"2.016,42",:,"189,92",:,"510,07","4.319,96"
2007-01,FI,"371,38","1,34",:,:,:,"3.029,24","63,99","6,82",:,:,:,"1,83",:,"4.401,51",:,"9,02","10,83",:,:,:,"1,06",:,:,:,"1.659,98",:,"0,24","2.324,29"
2007-01,FR,"11,28","187,61",:,"0,63","7,97","23.952,70","933,81",:,"4,84","1.159,44","31.060,48",:,:,"100,88","27,96","6.615,72","0,17","702,88",:,:,"37.761,34","1,39","112,18","0,01","920,87","2,55","2,22","4.936,95"
2007-01,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-01,HU,"1.995,84",:,:,:,"154,39","3.989,02",:,"3.607,42",:,:,"1.555,15","2.276,40","0,30",:,"0,15","0,20","1,23",:,:,:,"104,04",:,:,"21,24","2.546,79",:,"3,08","325,32"
2007-01,IE,:,:,:,:,:,"6.210,25",:,:,:,:,"10.937,29","85,10",:,"7.700,44",:,"226,42",:,"5,20",:,:,"2.538,57",:,:,:,"572,57",:,:,"3.609,08"
2007-01,IT,"228,10","396,81","0,58","92,00",:,"18.271,71","1.565,88","2,27","13,58","4,07","14.929,00","5.619,38",:,"15.047,05","1.579,37",:,:,"240,44",:,:,"4.670,14",:,"297,80","766,60","658,09","5,50",:,"1.439,87"
2007-01,LT,"172,60",:,:,:,:,"698,50","44,26","1,29",:,"20,82","1.579,91",:,:,:,:,:,:,:,"28,03",:,"3.115,82","1,08","10,69",:,"970,77",:,:,"207,40"
2007-01,LU,"164,90","2.755,23",:,:,"15,31","3.935,42","33,25",:,:,"31,73","0,44","227,13","8,56","2,96","27,75","2.871,76",:,:,:,:,"1.392,90",:,"68,33",:,"69,50",:,:,"130,92"
2007-01,LV,"486,77",:,:,:,"94,95","1.820,49","3,99","695,11",:,:,"1.081,29",:,:,:,:,:,"2.856,57",:,:,:,"73,02",:,:,:,"490,55",:,:,"28,11"
2007-01,MT,:,"9,80",:,:,"8,44","0,60",:,:,:,:,:,"2,10",:,:,:,"202,13",:,:,:,:,:,:,:,:,:,:,:,"1,86"
2007-01,NL,"29,08","4.067,30",:,"0,56","147,33","9.021,18","1.537,45",:,"49,80","168,31","7.706,80","3.140,53",:,"7.014,03","0,57","1.147,15","1,00","558,14","0,85","1,42",:,"688,96","5,35",:,"3.051,62","2,88","2,28","459,59"
2007-01,PL,"2.698,33","0,06",:,:,"1.078,58","9.445,18","136,29","224,01",:,"304,05","11.331,69","2.652,74",:,"13.553,19","515,04",:,:,"2,66",:,:,"137,39",:,:,:,"15.680,61",:,:,"473,20"
2007-01,PT,"8.232,61","27,03",:,:,:,"571,11","317,43",:,:,"18.431,09","7.113,74","584,95",:,"0,04",:,"1,15",:,"42,75",:,:,"3.499,65","54,97",:,:,"736,54",:,:,"269,27"
2007-01,RO,"3.193,28","0,11","25,52",:,"157,46","2.317,03","1,19",:,"297,68","88,95","2.082,59","345,18",:,"5.247,99",:,"12,69",:,:,:,:,"221,62",:,:,:,"1.301,90",:,"3,11","1.264,91"
2007-01,SE,"63,34",:,:,:,:,"3.011,71","1.544,36",:,:,:,"694,00","897,47",:,"2.692,35","5,80","36,94","0,76","279,50",:,:,"361,89",:,:,:,:,:,"4,34","576,21"
2007-01,SI,"2.573,57",:,:,:,:,"2.755,47",:,:,:,:,"1.077,45","410,33","0,16","817,66","0,10","165,60","0,32",:,:,:,:,:,:,:,"0,25",:,:,:
2007-01,SK,"247,28","19,56",:,:,"2.168,14","3.806,45",:,:,"836,54",:,"5.441,61","4,96",:,"7.335,29","36,68",:,:,:,"54,52",:,"8,29",:,:,:,"2.008,97",:,:,:
2007-01,UK,"248,35","258,67","37,77",:,"19,19","73.449,11","333,82",:,"0,32","59,89","48.883,33","7.630,32",:,"16.864,40","6.530,42","1.780,79",:,"981,77",:,"0,06","51.848,77","331,42","449,24","161,66","446,56",:,:,:
2007-02,AT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-02,BE,"0,34",:,:,:,:,"3.057,74","309,50",:,:,"0,35","1.615,47","899,39",:,"5.301,11",:,"0,34",:,"327,65",:,:,"16.596,53","2,87","22,32",:,"2.174,06",:,:,"235,17"
2007-02,BG,"3.402,43",:,:,"1.578,32","85,49","2.400,12","51,30",:,"295,37","2,94","1.538,43","108,68",:,"2.905,45",:,:,:,"24,47",:,:,"0,25",:,:,:,"2.026,97",:,:,"99,13"
2007-02,CY,"14,06",:,:,:,:,"359,76",:,:,"345,09","23,12","178,23",:,:,"189,87",:,:,:,:,:,:,"2,28",:,:,:,"410,74",:,:,"10,06"
2007-02,CZ,"2.254,81",:,:,:,:,"4.749,76","30,41",:,:,"682,52","2.767,50","59,72",:,"7.130,75",:,"1.909,07","1,74","0,54",:,:,"32,77","397,40","42,91","96,79","1.989,97",:,"533,87","209,89"
2007-02,DE,"3.106,01","2.265,41","32,22",:,"111,13",:,"2.240,73","175,58","141,65","103,24","102.976,74","2.819,34",:,"77.169,00","2.256,36","738,67","10,50","1.212,57","13,50",:,"12.865,18","843,78","175,90","11,62","5.011,24","12,12","70,97","4.524,56"
2007-02,DK,"125,53","210,66",:,"638,94",:,"4.072,39",:,:,:,:,"3.496,71","184,91",:,"5.861,22",:,"413,12","199,54","153,18",:,:,"135,17",:,:,:,"7.913,91",:,:,"4.833,03"
2007-02,EE,:,"14,53",:,:,:,"286,66",:,:,:,"16,67","1.577,02","1,91",:,"241,87",:,:,"60,94",:,"1.303,64",:,"303,12","179,12",:,:,"738,14",:,:,"217,28"
2007-02,EL,"17.639,42",:,:,"70,09","22,82","9.877,99","21,10",:,:,:,"14.459,20","665,46",:,"8,63",:,"104,52",:,:,:,:,"134,76",:,:,"0,93","57,90",:,:,"347,27"
2007-02,ES,"57,20","18,81",:,"146,12","250,43","24.376,92","3.634,67",:,:,:,"25.890,56","6.913,52",:,"34.035,40","10,81","2.312,08",:,"595,67",:,:,"10.482,31",:,"1.818,60",:,"220,38",:,"176,77","8.825,05"
2007-02,FI,"814,27",:,:,:,"5,79","1.944,73","277,33","133,20",:,"34,62",:,:,:,"1.842,37",:,:,"14,05",:,:,:,"124,47",:,:,:,"2.023,96",:,:,"3.687,10"
2007-02,FR,"37,00","267,23","0,50","0,32","26,12","38.580,48","1.456,17",:,"6,51","1.398,78","15.848,50",:,:,"445,70","344,25","6.516,39","0,15","365,61","0,17",:,"16.828,87","41,30","168,89",:,"482,21","0,48","0,52","9.859,06"
2007-02,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-02,HU,"3.143,78","71,37","0,58",:,"190,60","4.831,88",:,:,"268,24",:,"15.925,03","940,50",:,:,"122,28","0,07",:,"29,43",:,:,"92,02","2,19",:,"22,59","2.256,25",:,:,"63,59"
2007-02,IE,:,:,:,:,:,"12.442,80",:,:,:,:,"8.588,59","55,30",:,"5.025,29",:,"157,81",:,"17,67",:,:,"1.453,22",:,:,:,"1.280,97",:,:,"3.211,09"
2007-02,IT,"0,51","148,28",:,"6,56",:,"54.012,48","3.133,07",:,"4,70",:,"34.695,62","4.222,69",:,"17.783,37","1.531,81",:,"3,92","1.837,05","97,14",:,"4.219,79",:,"314,72","848,42","657,16","50,42",:,"1.626,40"
2007-02,LT,"1.456,40",:,:,:,:,"1.487,77",:,"4,22",:,:,"3.785,76",:,:,"17,65",:,:,:,:,"9,10",:,"631,01","24,78","6,89",:,"1.356,59",:,:,"848,26"
2007-02,LU,"74,87","8.348,36",:,:,:,"4.232,42","19,20",:,:,"46,38",:,"1.835,33",:,:,:,"3.491,89",:,:,:,:,"1.512,77",:,"76,10",:,:,:,:,"164,99"
2007-02,LV,"661,13",:,:,:,"147,97","2.679,82",:,"1.032,46",:,:,"642,69","2,24",:,:,:,:,"861,64",:,:,:,"17,21","197,86",:,:,"996,25",:,:,"62,88"
2007-02,MT,:,:,:,:,"27,88","0,75","4,12",:,:,"3,12","189,50","492,73",:,:,:,"52,09","3,42",:,:,:,:,:,:,:,:,:,:,"4,54"
2007-02,NL,"113,00","5.025,97",:,"151,34","4,55","10.395,48","1.657,68",:,"92,45","238,11","8.012,67","1.921,18",:,"7.352,94","0,79","4.105,41","0,60","66,21","0,96","1,92",:,"586,71","327,30","196,78","5.722,54","2,27","5,85","1.003,59"
